global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
12,1,-17.162682,12,0,1,16.008745,15.818403
53,2,-20.019821,41,0,1,5.603320,5.168486
70,3,-19.170913,17,0,1,14.120492,14.173058
246,4,-36.089843,176,0,1,2.847161,1.424580
500,5,-43.387189,254,0,1,8.086860,5.472129
506,6,-16.816068,6,0,1,12.379075,12.481124
838,7,-51.007273,332,0,1,9.163522,6.748037
1001,8,-24.839986,163,0,1,6.206206,2.899247
1047,9,-26.435747,46,0,1,9.466167,10.203833
1062,10,-18.954408,15,0,1,5.403901,5.440324
1154,11,-23.408454,92,0,1,8.892581,7.444392
1352,12,-64.271916,198,0,1,14.252034,17.734891
1396,13,-21.925183,44,0,1,13.471536,13.366515
1600,14,-37.951527,204,0,1,12.478477,11.285988
1623,15,-22.190994,23,0,1,6.436154,6.664217
1628,16,-16.999400,5,0,1,13.205050,13.247492
1729,17,-26.427953,101,0,1,12.138302,11.212905
1784,18,-28.433589,55,0,1,4.236744,5.171667
1824,19,-21.415621,40,0,1,9.072755,9.180455
1860,20,-19.520422,36,0,1,7.418986,7.129144
1907,21,-23.991766,47,0,1,12.663986,12.480913
2124,22,-32.366712,217,0,1,5.795708,2.394560
2198,23,-22.385830,74,0,1,6.784642,5.657235
2247,24,-29.178448,49,0,1,4.914666,5.913893
2286,25,-24.347632,39,0,1,3.689847,4.222173
2347,26,-25.346837,61,0,1,5.687892,5.772005
2353,27,-17.163845,6,0,1,11.759188,11.791899
2379,28,-20.837066,26,0,1,3.711896,3.586998
2431,29,-28.682519,52,0,1,7.532507,8.153851
2452,30,-20.044557,21,0,1,12.866965,13.207583
2632,31,-36.555640,180,0,1,4.232709,3.409214
2650,32,-18.383162,18,0,1,9.016583,8.945171
2893,33,-37.273578,243,0,1,9.068487,6.447873
3087,34,-30.740035,194,0,1,8.266397,4.248971
3298,35,-47.928407,211,0,1,5.857920,4.928594
3311,36,-17.015992,13,0,1,13.036615,12.822659
3394,37,-23.387761,83,0,1,3.067595,1.862328
3404,38,-16.783255,10,0,1,12.747306,12.586301
3460,39,-21.380380,56,0,1,5.919238,5.060849
3566,40,-36.939472,106,0,1,7.966400,8.792927
3610,41,-26.393393,44,0,1,13.290524,14.099687
3673,42,-30.680383,63,0,1,3.837475,4.823571
3884,43,-32.023245,211,0,1,5.357734,2.766688
3922,44,-21.769286,38,0,1,6.087880,6.020799
3949,45,-23.865237,27,0,1,7.759735,8.090733
3988,46,-20.950458,39,0,1,8.998765,8.746532
4488,47,-147.330851,500,0,0,5.326213,5.700667
4537,48,-28.470476,49,0,1,5.859704,6.683708
4576,49,-25.050454,39,0,1,11.312277,12.030566
4655,50,-32.107974,79,0,1,3.054862,3.534332
4786,51,-47.425281,131,0,1,5.621797,8.091414
4935,52,-48.741437,149,0,1,9.146221,10.367992
5072,53,-49.527341,137,0,1,10.872615,12.942811
5098,54,-21.033516,26,0,1,3.989973,4.246210
5146,55,-23.495086,48,0,1,6.270315,6.204617
5229,56,-37.581628,83,0,1,7.013340,6.982457
5279,57,-23.670916,50,0,1,9.229761,9.513210
5429,58,-52.150453,150,0,1,8.245812,8.326072
5522,59,-21.133309,93,0,1,4.563102,2.955313
5571,60,-19.671971,49,0,1,5.845715,5.008426
5735,61,-53.932705,164,0,1,4.749650,7.751704
5832,62,-22.299751,97,0,1,6.150969,4.428699
5861,63,-21.607104,29,0,1,8.046818,7.985877
5915,64,-28.598797,54,0,1,6.757847,7.786139
6038,65,-34.618573,123,0,1,3.591624,3.499660
6394,66,-83.671281,356,0,1,4.200643,9.380842
6465,67,-29.762194,71,0,1,10.829662,10.756024
6491,68,-21.507189,26,0,1,12.611444,12.698748
6797,69,-102.716841,306,0,1,15.294355,15.279724
6905,70,-36.306853,108,0,1,7.618816,7.849438
6946,71,-24.999280,41,0,1,7.573136,8.132600
6979,72,-19.836269,33,0,1,18.192602,18.024581
6993,73,-19.840071,14,0,1,4.258837,4.377774
7089,74,-28.807667,96,0,1,6.567619,6.640696
7353,75,-50.900283,264,0,1,4.846285,5.198324
7463,76,-23.589093,110,0,1,9.446718,7.845277
7515,77,-27.639266,52,0,1,11.647617,12.583536
7604,78,-35.888144,89,0,1,6.175224,7.309003
7616,79,-17.358655,12,0,1,6.979938,6.809857
7642,80,-21.871816,26,0,1,7.137280,7.403220
7755,81,-22.132877,113,0,1,12.273905,10.216929
7822,82,-27.919184,67,0,1,12.251461,12.223550
7854,83,-21.439721,32,0,1,17.427685,17.694045
7905,84,-18.550595,51,0,1,6.408280,5.344141
7986,85,-39.032934,81,0,1,8.533716,8.804729
7999,86,-18.748416,13,0,1,5.294156,5.490206
8005,87,-16.518672,6,0,1,3.319767,3.342597
8066,88,-30.918385,61,0,1,8.923488,10.095418
8110,89,-20.023360,44,0,1,4.066041,3.417852
8160,90,-21.117321,50,0,1,4.437062,3.928016
8214,91,-23.573057,54,0,1,11.435959,11.009736
8714,92,-148.625980,500,0,0,10.003151,10.186205
8855,93,-41.041872,141,0,1,5.790408,6.432004
8956,94,-35.911557,101,0,1,4.432211,5.032680
9003,95,-27.856764,47,0,1,6.735449,7.580594
9105,96,-37.440417,102,0,1,6.055281,7.060543
9117,97,-18.165615,12,0,1,11.518396,11.641017
9227,98,-40.162641,110,0,1,4.391816,6.375548
9268,99,-19.887788,41,0,1,7.793539,7.318109
9320,100,-25.996877,52,0,1,12.445566,12.919774
9548,101,-61.801495,228,0,1,8.867523,8.310004
9565,102,-18.551751,17,0,1,9.088637,9.165424
9583,103,-21.462007,18,0,1,9.088206,9.416153
9741,104,-54.141437,158,0,1,6.708112,9.705027
9817,105,-23.833077,76,0,1,2.736385,1.506276
9867,106,-23.511136,50,0,1,3.506532,3.839159
9873,107,-16.840291,6,0,1,2.024453,1.982134
9988,108,-36.825163,115,0,1,6.785308,7.295563
10088,109,-35.640528,100,0,1,7.429828,8.474911
10112,110,-20.546802,24,0,1,5.550436,5.853311
10221,111,23.964182,109,1,0,2.483071,0.479738
10230,112,-17.968980,9,0,1,12.775696,12.841169
10302,113,-32.872134,72,0,1,3.245539,4.523995
10428,114,-43.159430,126,0,1,8.589265,10.426123
10457,115,-22.596375,29,0,1,10.544458,10.869846
10533,116,-29.671290,76,0,1,13.113880,12.831982
10592,117,-26.703326,59,0,1,12.287207,12.795270
10674,118,-32.746370,82,0,1,6.860598,7.774546
10720,119,-23.389009,46,0,1,2.411094,2.527595
10842,120,-45.319840,122,0,1,4.546810,6.839579
10968,121,-44.488652,126,0,1,8.095184,9.771172
10989,122,-21.090753,21,0,1,9.845127,10.096879
11016,123,-22.208539,27,0,1,7.532597,7.718245
11109,124,-27.737809,93,0,1,8.640357,8.282076
11210,125,-39.434045,101,0,1,6.563244,8.027792
11250,126,-20.741004,40,0,1,10.452611,10.360019
11333,127,-28.119870,83,0,1,7.252687,6.738563
11383,128,-20.341716,50,0,1,4.631197,4.192077
11528,129,-36.820408,145,0,1,4.422415,4.658320
11635,130,-24.139337,107,0,1,7.391852,5.703820
11656,131,-19.860425,21,0,1,6.481331,6.607737
11744,132,-24.815668,88,0,1,3.231458,2.676424
11832,133,-22.788584,88,0,1,6.220115,4.893441
11871,134,-22.031375,39,0,1,10.066051,10.101943
11919,135,-21.876684,48,0,1,9.686707,9.391286
12300,136,-88.024514,381,0,1,10.954506,11.687156
12342,137,-25.319890,42,0,1,11.978934,12.726211
12438,138,-21.365334,96,0,1,7.157819,5.392448
12591,139,21.924581,153,1,0,3.657930,0.493504
12673,140,-20.820585,82,0,1,3.344061,2.097735
12719,141,-22.575176,46,0,1,9.976652,9.625726
12758,142,-21.204593,39,0,1,2.190666,2.093778
12824,143,-32.308817,66,0,1,10.423463,11.613587
12875,144,-22.900258,51,0,1,2.140478,1.930340
12940,145,-20.200446,65,0,1,3.857755,2.652611
12971,146,-18.606749,31,0,1,2.606531,2.046822
13055,147,-24.777113,84,0,1,10.171392,9.610710
13251,148,-63.750054,196,0,1,11.707084,15.191166
13380,149,-50.223634,129,0,1,7.858941,8.205005
13545,150,-44.660353,165,0,1,8.351008,9.440906
13551,151,-17.385135,6,0,1,3.716733,3.742536
13638,152,-22.549421,87,0,1,7.878947,6.696981
13820,153,-35.152806,182,0,1,5.588094,5.250015
13866,154,-26.312576,46,0,1,7.517426,7.771545
13916,155,-19.388639,50,0,1,2.379746,1.628640
13995,156,-23.556227,79,0,1,6.104545,5.420275
14071,157,-29.113184,76,0,1,7.592157,7.541125
14108,158,-20.010035,37,0,1,4.555887,4.303295
14152,159,-21.748819,44,0,1,4.766119,4.766571
14335,160,-55.937038,183,0,1,8.246100,11.023045
14431,161,-31.399828,96,0,1,8.099458,8.104063
14547,162,-41.206513,116,0,1,7.960649,9.488089
14581,163,-19.730429,34,0,1,2.494004,1.902065
14791,164,-69.688133,210,0,1,11.410151,14.610576
14906,165,-38.415706,115,0,1,10.244977,10.233832
15082,166,-53.681562,176,0,1,4.938460,7.170422
15131,167,-27.111235,49,0,1,9.344421,9.741890
15319,168,-39.692749,188,0,1,2.619205,2.411583
15352,169,-20.799393,33,0,1,3.591960,3.705601
15467,170,-29.447630,115,0,1,7.233018,6.283159
15496,171,-23.545927,29,0,1,6.434812,6.487175
15535,172,-20.578292,39,0,1,11.880453,11.505639
15618,173,-29.823277,83,0,1,4.015926,4.576346
15920,174,-81.461921,302,0,1,6.893265,9.910494
16169,175,-90.647659,249,0,1,8.642302,8.804339
16231,176,-25.613871,62,0,1,3.873240,3.743495
16325,177,-42.706157,94,0,1,8.251025,8.463739
16590,178,-61.734008,265,0,1,4.917708,6.293727
16635,179,-23.474760,45,0,1,6.805893,7.021340
16719,180,-39.995512,84,0,1,7.375958,7.478367
16772,181,-26.357907,53,0,1,4.195594,4.253494
16814,182,-20.623159,42,0,1,3.932914,3.596490
16825,183,-18.872798,11,0,1,13.090545,13.240172
16910,184,-35.649256,85,0,1,7.153999,8.420834
16984,185,-20.975583,74,0,1,2.652122,1.318625
17104,186,-47.750154,120,0,1,4.492254,6.759664
17140,187,-26.449627,36,0,1,6.305322,6.490003
17190,188,-20.590188,50,0,1,10.333798,9.778166
17212,189,-21.376239,22,0,1,3.415058,3.720879
17225,190,-19.089166,13,0,1,6.298195,6.563414
17247,191,-21.643949,22,0,1,11.256277,11.367643
17427,192,-51.109218,180,0,1,2.438616,5.177143
17491,193,-21.829178,64,0,1,2.899461,2.007430
17530,194,-23.150977,39,0,1,6.376245,6.524101
17757,195,-70.930276,227,0,1,6.343794,10.375482
17947,196,-41.518459,190,0,1,5.186326,5.137217
18006,197,-32.023869,59,0,1,11.325202,11.540598
18120,198,-41.424919,114,0,1,9.561002,10.986694
18305,199,-57.905386,185,0,1,13.037100,16.134526
18422,200,-35.282558,117,0,1,5.135555,5.659104
18922,201,-142.561404,500,0,0,8.434232,8.387034
18980,202,-20.414306,58,0,1,5.538811,4.545720
19178,203,-60.968356,198,0,1,5.929163,9.282579
19240,204,-28.447907,62,0,1,8.564679,8.866814
19607,205,-99.559665,367,0,1,8.778081,13.663188
19634,206,-22.154738,27,0,1,7.726591,8.150284
19645,207,-17.546518,11,0,1,13.454998,13.553786
19686,208,-21.999057,41,0,1,2.793989,2.732165
19719,209,-18.055542,33,0,1,3.325266,2.733605
19760,210,-18.997190,41,0,1,5.999924,5.277577
19821,211,-28.998099,61,0,1,7.326144,7.761891
19989,212,-57.959549,168,0,1,8.999753,12.317982
19998,213,-17.685814,9,0,1,5.275733,5.390945
20042,214,-24.479050,44,0,1,6.953393,7.382591
20082,215,-28.422833,40,0,1,2.932195,3.628925
20266,216,-40.254706,184,0,1,7.419239,8.092501
20417,217,-54.079733,151,0,1,14.670007,17.208174
20464,218,-23.703512,47,0,1,10.179950,10.435414
20675,219,-31.340632,211,0,1,4.793726,1.792923
21175,220,-59.695652,500,0,0,7.769966,7.967647
21207,221,-19.057319,32,0,1,4.963528,4.613901
21222,222,-17.356130,15,0,1,2.366887,2.202036
21477,223,-53.066523,255,0,1,7.778613,6.687086
21782,224,-40.390819,305,0,1,12.111130,7.801356
21798,225,-19.861621,16,0,1,11.427331,11.550707
21825,226,-23.005968,27,0,1,3.009442,3.358748
22051,227,-62.022321,226,0,1,9.345673,11.444009
22062,228,-17.158277,11,0,1,2.316213,2.239587
22305,229,-35.463122,243,0,1,8.159494,4.098598
22682,230,-64.648546,377,0,1,3.607046,5.691045
22837,231,-25.388495,155,0,1,9.572797,6.905624
23196,232,-59.413757,359,0,1,3.216642,2.961426
23211,233,-18.207967,15,0,1,3.224400,3.125777
23271,234,-28.071847,60,0,1,9.968051,10.714243
23315,235,-20.463714,44,0,1,7.008041,6.413874
23375,236,-22.167080,60,0,1,9.488975,8.731971
23875,237,-44.080146,500,0,0,7.618483,3.380041
24226,238,-62.719307,351,0,1,3.094716,5.148793
24726,239,-78.962222,500,0,0,12.198774,11.211822
25226,240,-59.417267,500,0,0,5.486099,5.517713
25264,241,-20.888316,38,0,1,10.092874,9.631809
25431,242,20.838546,167,1,0,3.371373,0.481546
25666,243,12.782923,235,1,0,3.027454,0.474614
25870,244,-35.047247,204,0,1,10.098464,8.562661
26358,245,-108.525120,488,0,1,10.368132,15.150062
26671,246,-64.834651,313,0,1,4.373168,5.482861
27156,247,-63.455066,485,0,1,8.528197,2.623889
27424,248,-55.310923,268,0,1,6.355592,7.226533
27533,249,22.640487,109,1,0,2.352137,0.480874
28033,250,-43.880767,500,0,0,6.286361,1.054097
28225,251,24.045707,192,1,0,4.689337,0.483584
28725,252,-45.333638,500,0,0,7.978890,0.932079
29225,253,-62.278825,500,0,0,6.278849,1.171890
29247,254,-18.335155,22,0,1,4.987844,4.749938
29645,255,-73.979435,398,0,1,3.855232,5.843647
29748,256,26.010044,103,1,0,2.511194,0.476734
30248,257,-61.777100,500,0,0,4.096839,1.952245
30293,258,-26.135865,45,0,1,12.279303,11.807904
30687,259,-8.916030,394,1,0,2.932268,0.497624
30729,260,-20.939429,42,0,1,14.511500,13.841172
30997,261,-28.754993,268,0,1,5.473226,1.106233
31497,262,-73.614198,500,0,0,3.452026,7.038045
31930,263,-10.603762,433,1,0,3.171028,0.487427
32430,264,-64.849538,500,0,0,3.302453,3.181190
