#{"t_start": 1773980391.1478367, "env_id": "None"}
r,l,t
-17.162682,12,4.142352
-20.019821,41,10.547785
-19.170913,17,14.551645
-36.089843,176,34.46613
-43.387189,254,62.18521
-16.816068,6,65.088333
-51.007273,332,100.612453
-24.839986,163,119.224777
-26.435747,46,126.11007
-18.954408,15,129.915427
-23.408454,92,141.421694
-64.271916,198,163.535588
-21.925183,44,170.241302
-37.951527,204,192.956893
-22.190994,23,197.560555
-16.9994,5,200.363019
-26.427953,101,212.758581
-28.433589,55,220.563997
-21.415621,40,226.871252
-19.520422,36,232.778627
-23.991766,47,239.787369
-32.366712,217,263.804884
-22.38583,74,273.513129
-29.178448,49,280.718089
-24.347632,39,286.922807
-25.346837,61,295.327286
-17.163845,6,298.230317
-20.837066,26,303.133473
-28.682519,52,310.93799
-20.044557,21,315.641754
-36.55564,180,335.95536
-18.383162,18,340.057578
-37.273578,243,366.676884
-30.740035,194,388.391699
-47.928407,211,411.808577
-17.015992,13,415.410847
-23.387761,83,426.017182
-16.783255,10,429.320385
-21.38038,56,437.526241
-36.939472,106,450.434196
-26.393393,44,457.138386
-30.680383,63,465.744805
-32.023245,211,489.460934
-21.769286,38,495.565126
-23.865237,27,500.567203
-20.950458,39,506.771512
-147.330851,500,559.108441
-28.470476,49,566.312775
-25.050454,39,572.51668
-32.107974,79,582.724223
-47.425281,131,598.134089
-48.741437,149,615.345761
-49.527341,137,631.355847
-21.033516,26,636.25933
-23.495086,48,643.363804
-37.581628,83,653.970434
-23.670916,50,661.275456
-52.150453,150,678.587046
-21.133309,93,690.193203
-19.671971,49,697.397791
-53.932705,164,716.110377
-22.299751,97,728.11872
-21.607104,29,733.320991
-28.598797,54,741.327206
-34.618573,123,755.937793
-83.671281,356,793.8619
-29.762194,71,803.267651
-21.507189,26,808.171671
-102.716841,306,841.092598
-36.306853,108,854.202126
-24.99928,41,860.606957
-19.836269,33,866.209771
-19.840071,14,869.911483
-28.807667,96,881.820514
-50.900283,264,910.539892
-23.589093,110,923.848548
-27.639266,52,931.353561
-35.888144,89,942.561885
-17.358655,12,946.36566
-21.871816,26,951.269669
-22.132877,113,964.878487
-27.919184,67,973.884216
-21.439721,32,979.387242
-18.550595,51,986.791531
-39.032934,81,997.198191
-18.748416,13,1000.801307
-16.518672,6,1003.703197
-30.918385,61,1012.108937
-20.02336,44,1018.812999
-21.117321,50,1026.119828
-23.573057,54,1033.823741
-148.62598,500,1086.175346
-41.041872,141,1102.588619
-35.911557,101,1115.003129
-27.856764,47,1122.010767
-37.440417,102,1134.523303
-18.165615,12,1138.025944
-40.162641,110,1151.341386
-19.887788,41,1157.747526
-25.996877,52,1165.553149
-61.801495,228,1190.681534
-18.551751,17,1194.683831
-21.462007,18,1198.786952
-54.141437,158,1216.908757
-23.833077,76,1226.818636
-23.511136,50,1234.124098
-16.840291,6,1237.025267
-36.825163,115,1250.836859
-35.640528,100,1263.151468
-20.546802,24,1267.856928
23.964182,109,1281.076143
-17.96898,9,1284.278663
-32.872134,72,1293.789167
-43.15943,126,1308.702055
-22.596375,29,1313.904627
-29.67129,76,1323.812714
-26.703326,59,1332.018165
-32.74637,82,1342.525273
-23.389009,46,1349.428664
-45.31984,122,1363.938448
-44.488652,126,1378.849904
-21.090753,21,1383.250527
-22.208539,27,1388.255356
-27.737809,93,1399.863742
-39.434045,101,1412.270502
-20.741004,40,1418.574459
-28.11987,83,1429.182076
-20.341716,50,1436.486403
-36.820408,145,1453.297086
-24.139337,107,1466.605918
-19.860425,21,1471.30882
-24.815668,88,1482.716423
-22.788584,88,1493.821854
-22.031375,39,1500.027709
-21.876684,48,1507.131912
-88.024514,381,1547.556502
-25.31989,42,1554.060465
-21.365334,96,1565.969311
21.924581,153,1583.579649
-20.820585,82,1594.086702
-22.575176,46,1600.991813
-21.204593,39,1607.195935
-32.308817,66,1616.101398
-22.900258,51,1623.506212
-20.200446,65,1632.311321
-18.606749,31,1637.714422
-24.777113,84,1648.421389
-63.750054,196,1670.334845
-50.223634,129,1685.546149
-44.660353,165,1704.361013
-17.385135,6,1707.259105
-22.549421,87,1718.266046
-35.152806,182,1738.779414
-26.312576,46,1745.684106
-19.388639,50,1752.989296
-23.556227,79,1763.196419
-29.113184,76,1773.102851
-20.010035,37,1779.107804
-21.748819,44,1785.810876
-55.937038,183,1806.423679
-31.399828,96,1818.330791
-41.206513,116,1832.239248
-19.730429,34,1837.94326
-69.688133,210,1861.258725
-38.415706,115,1875.06837
-53.681562,176,1894.980461
-27.111235,49,1902.185319
-39.692749,188,1923.613786
-20.799393,33,1929.221336
-29.44763,115,1943.341411
-23.545927,29,1948.546011
-20.578292,39,1954.750383
-29.823277,83,1965.365796
-81.461921,302,1997.897877
-90.647659,249,2025.130372
-25.613871,62,2033.636116
-42.706157,94,2045.348545
-61.734008,265,2074.484184
-23.47476,45,2081.289206
-39.995512,84,2092.005241
-26.357907,53,2099.610687
-20.623159,42,2106.115229
-18.872798,11,2109.519798
-35.649256,85,2120.331928
-20.975583,74,2130.049063
-47.750154,120,2144.367654
-26.449627,36,2150.577997
-20.590188,50,2157.881772
-21.376239,22,2162.389981
-19.089166,13,2165.994875
-21.643949,22,2170.499919
-51.109218,180,2190.82043
-21.829178,64,2199.526994
-23.150977,39,2205.731958
-70.930276,227,2230.759009
-41.518459,190,2252.089334
-32.023869,59,2260.298233
-41.424919,114,2274.011014
-57.905386,185,2294.839649
-35.282558,117,2308.854364
-142.561404,500,2361.190831
-20.414306,58,2369.297726
-60.968356,198,2391.411877
-28.447907,62,2399.916352
-99.559665,367,2438.944548
-22.154738,27,2443.948584
-17.546518,11,2447.350668
-21.999057,41,2453.755028
-18.055542,33,2459.358469
-18.99719,41,2465.765769
-28.998099,61,2474.167151
-57.959549,168,2493.28136
-17.685814,9,2496.483464
-24.47905,44,2503.288661
-28.422833,40,2509.592833
-40.254706,184,2530.911336
-54.079733,151,2548.322536
-23.703512,47,2555.327369
-31.340632,211,2578.744064
-59.695652,500,2631.076883
-19.057319,32,2636.580435
-17.35613,15,2640.382693
-53.066523,255,2668.204682
-40.390819,305,2701.025495
-19.861621,16,2704.927641
-23.005968,27,2709.929722
-62.022321,226,2734.848151
-17.158277,11,2738.251059
-35.463122,243,2764.868595
-64.648546,377,2804.895014
-25.388495,155,2822.706053
-59.413757,359,2860.930999
-18.207967,15,2864.733326
-28.071847,60,2873.039609
-20.463714,44,2879.74376
-22.16708,60,2888.051091
-44.080146,500,2940.385228
-62.719307,351,2977.809244
-78.962222,500,3030.147406
-59.417267,500,3082.482167
-20.888316,38,3088.586748
20.838546,167,3107.60112
12.782923,235,3133.418272
-35.047247,204,3156.114361
-108.52512,488,3207.249047
-64.834651,313,3240.872592
-63.455066,485,3291.712862
-55.310923,268,3320.832212
22.640487,109,3334.041748
-43.880767,500,3386.375926
24.045707,192,3407.893111
-45.333638,500,3460.228305
-62.278825,500,3512.563382
-18.335155,22,3517.066162
-73.979435,398,3559.195162
26.010044,103,3571.803873
-61.7771,500,3624.138531
-26.135865,45,3630.94366
-8.91603,394,3672.973763
-20.939429,42,3679.478619
-28.754993,268,3708.604875
-73.614198,500,3760.949351
-10.603762,433,3806.583412
-64.849538,500,3858.89635
-52.31322,211,3882.312787
-75.067902,356,3920.238013
11.649407,272,3949.758584
9.292742,368,3988.888492
-23.141379,56,3996.794436
-51.670096,500,4049.130414
-33.272972,165,4067.946108
-16.277707,213,4091.56569
17.64116,183,4112.181498
-33.840465,248,4139.299226
-27.293461,88,4150.407067
28.729063,116,4164.617356
-42.265728,346,4201.547784
-25.405222,95,4213.356116
-24.866724,353,4250.984613
-18.191564,57,4258.991241
-18.562197,17,4262.994829
-32.887869,200,4285.310901
-53.64355,240,4311.628333
25.573877,78,4321.716537
-40.839381,202,4344.230915
-20.94241,68,4353.337818
28.844612,84,4364.046341
-36.350432,217,4388.062784
-14.56082,69,4397.269445
-63.873351,287,4428.290502
29.9978,33,4433.894745
-136.635892,500,4486.229659
23.284932,118,4500.320189
28.529893,216,4524.234673
-20.592206,27,4529.239622
-56.829611,500,4581.638663
-22.180836,34,4587.349962
3.784655,253,4614.988481
29.851989,131,4630.71373
-17.045081,35,4636.82182
-141.790825,500,4689.157092
-18.864481,31,4694.560042
8.912908,287,4725.58093
-20.939203,37,4731.585214
31.54842,69,4740.789993
30.971757,100,4753.099221
22.986087,141,4769.511961
-16.929482,25,4774.315915
-30.966956,147,4791.627082
-22.276,334,4827.353335
-18.732549,15,4831.155099
21.019051,179,4851.669901
9.751599,285,4882.49136
26.284183,107,4895.499694
28.59931,53,4903.105929
31.144468,44,4909.81175
-21.171196,63,4918.417062
30.149538,151,4935.82945
29.047624,174,4955.542625
-23.553052,81,4965.95041
24.918631,120,4980.259656
17.381668,293,5011.879774
12.151013,216,5036.09656
-36.673431,198,5058.21441
-16.703914,133,5073.823987
26.17417,94,5085.532759
-57.790853,294,5117.253589
28.821406,184,5137.969164
-20.814052,25,5142.772012
-21.92112,71,5152.177804
-20.161084,39,5158.382546
-20.191883,27,5163.384959
-55.289745,429,5208.614523
14.498701,394,5250.340902
32.385901,136,5266.251485
31.205508,163,5284.86576
20.648873,178,5304.979188
31.224579,55,5312.784521
-16.561261,179,5332.996364
-56.811627,500,5385.348731
-18.18876,15,5389.151554
-40.095899,221,5413.569711
-16.979147,9,5416.771813
-17.412196,199,5438.996494
-21.294077,194,5460.713838
-16.022391,84,5471.426267
-31.454287,75,5481.236336
-38.621938,195,5503.058836
23.640753,276,5532.98956
-18.920746,11,5536.392316
-20.14273,24,5541.095897
27.395334,303,5573.723106
17.947785,140,5590.042587
-18.126688,8,5593.144153
-62.934029,280,5623.476336
-19.852771,22,5627.978635
-29.459771,500,5680.324798
28.075834,225,5705.148826
-37.623334,369,5744.383423
-55.88374,500,5796.739275
-26.999176,201,5819.162074
19.763786,210,5842.485235
-21.44703,50,5849.793602
-24.374648,269,5879.020388
27.405275,83,5889.628785
-16.889339,191,5911.046298
6.954686,216,5934.964747
-33.512476,500,5987.307845
-27.755073,144,6004.023762
-1.066328,379,6044.267802
-38.995253,349,6081.50366
-19.734667,86,6092.415878
-17.38112,38,6098.51976
-47.157938,500,6150.857578
19.406241,184,6171.57212
-52.761938,500,6223.919024
30.246361,128,6239.035819
-16.285568,84,6249.74602
29.126304,214,6273.469962
-17.221245,52,6280.975582
28.157447,58,6289.079836
-24.855854,63,6297.685112
35.459211,166,6316.597542
-24.294541,213,6340.214289
29.17767,81,6350.623301
-25.88297,74,6360.329235
-23.249037,26,6365.23302
17.548027,211,6388.650457
30.36381,80,6398.958807
29.186073,110,6412.267385
33.269715,197,6434.280792
31.127074,92,6445.787854
28.849125,46,6452.694155
-17.395298,116,6466.602658
22.399366,216,6490.520348
-37.208299,196,6512.436107
30.636419,181,6532.85205
24.88611,267,6561.871452
33.575154,145,6578.681706
-17.051822,42,6585.185766
28.893592,180,6605.49831
-22.366604,356,6643.424154
-17.524582,8,6646.525793
29.175246,112,6660.034266
-27.771604,223,6684.650548
27.667491,147,6701.661787
29.341609,109,6714.869314
31.463847,41,6721.273914
-69.025891,265,6750.09309
-23.796684,27,6755.097351
32.891944,80,6765.404472
-19.489513,196,6787.3195
-24.289347,344,6824.043293
-17.580935,7,6827.044144
24.959144,89,6838.252321
-25.789268,126,6853.162024
0.191959,281,6883.582874
-17.71974,31,6888.985831
-28.311903,132,6904.496183
-27.316047,83,6915.102293
3.717156,318,6949.224386
32.57345,85,6960.031441
-30.877763,100,6972.339549
-34.798782,166,6991.252779
-16.251594,114,7004.960574
-16.851197,14,7008.663968
30.009763,90,7019.970309
-28.396577,59,7028.17607
32.642965,89,7039.383047
32.594719,68,7048.48895
37.818776,144,7065.199845
-18.707573,34,7070.904209
38.390119,228,7096.01932
-17.592096,7,7099.022251
25.685591,121,7113.431434
30.6989,169,7132.645017
27.680654,324,7167.667268
-23.019204,101,7180.075936
-19.812905,47,7187.080536
26.975502,78,7197.187766
-43.624966,154,7214.912469
25.344787,377,7254.956915
-43.39024,173,7274.57267
25.006456,56,7282.479189
29.704514,88,7293.58685
-27.239926,133,7309.197911
28.800106,131,7324.608921
24.143523,91,7336.01629
-17.459322,13,7339.618065
27.594488,144,7356.330473
-30.176318,132,7371.843592
23.438516,117,7385.853405
-17.316111,7,7388.855072
27.677552,124,7403.564767
4.456792,298,7435.688713
-31.844097,183,7456.299253
-17.775942,133,7471.909153
-90.802498,500,7524.244272
-24.438772,32,7529.749063
-17.056832,6,7532.652344
-61.02724,146,7549.562746
26.564891,141,7565.973672
29.088436,144,7582.683649
-17.774927,10,7585.98697
28.355913,175,7605.798597
35.601201,92,7617.607789
-47.076547,419,7661.842283
-14.054099,102,7674.35043
29.07171,56,7682.255949
-18.455631,16,7686.159468
32.913511,51,7693.565929
28.586193,100,7705.875118
-17.547516,26,7710.77937
23.953194,83,7721.385373
33.824842,69,7730.591644
34.138308,101,7742.99942
35.388647,218,7767.118039
-20.831987,139,7783.332462
-19.979732,27,7788.335407
-16.276893,18,7792.438803
28.830928,75,7802.226472
32.387312,63,7810.832568
20.866379,163,7829.451224
-14.459062,118,7843.86813
-29.33595,194,7865.584861
29.989164,209,7888.803049
31.134408,247,7915.82029
-17.104815,6,7918.72373
27.689601,165,7937.536039
-17.86409,27,7942.541244
26.85599,56,7950.447045
29.898219,70,7959.754052
-71.953499,263,7988.37401
-25.599672,58,7996.479509
28.633494,192,8017.994092
-17.364506,7,8020.997539
-25.332218,45,8027.80301
33.206522,200,8050.120497
11.542318,379,8090.348345
-46.499369,220,8114.664657
-17.797908,499,8166.90092
-87.787446,500,8219.235292
-3.38047,363,8257.842934
-16.969579,301,8290.263712
32.521749,238,8316.381543
-7.561951,224,8341.098061
32.216721,46,8348.0024
-16.139808,8,8351.105261
36.288719,96,8363.013054
-22.148672,30,8368.31766
34.840581,156,8386.530922
-17.813919,27,8391.53421
-17.04935,8,8394.637192
28.357535,165,8413.450322
-26.911489,84,8424.158374
-29.158845,49,8431.363913
-46.561047,500,8483.701883
-36.61243,434,8529.428525
28.393621,220,8553.744187
-10.568752,141,8570.155447
24.779095,66,8579.063348
7.774852,257,8607.08519
32.58598,137,8623.102023
26.959031,308,8656.236491
-19.526604,91,8667.95013
-42.623693,242,8694.479452
34.471019,85,8705.271777
-66.44466,424,8750.023361
-32.346673,319,8784.265962
35.821263,190,8805.595684
-12.219131,109,8818.81494
-29.614631,120,8833.125532
-23.614062,237,8859.156948
27.993183,75,8869.266651
-16.124444,3,8871.869674
-17.83763,29,8877.075238
-18.595266,19,8881.278044
27.339732,140,8897.597768
40.061031,215,8921.42663
35.051123,253,8949.060531
-26.728238,70,8958.372701
-22.677611,56,8966.281808
39.287541,134,8982.001201
31.010979,80,8992.315574
35.54571,139,9010.236414
32.827395,75,9020.049001
27.550508,43,9026.638294
32.891935,116,9040.5522
32.602431,71,9049.966017
37.982721,231,9075.698235
28.631548,157,9093.716462
34.616973,187,9114.732355
34.108277,94,9126.440409
-16.562111,11,9129.84414
27.515951,84,9140.552297
28.01702,94,9152.561316
-29.981629,232,9178.378157
30.173254,178,9198.492418
24.749232,61,9206.898031
-23.700861,50,9214.205166
21.928822,122,9228.715598
-18.096592,21,9233.120572
32.421509,135,9248.930551
38.519793,135,9264.740914
27.709345,62,9273.247368
-14.794464,62,9281.755042
18.026731,213,9305.371844
29.526426,30,9310.675546
